sentences
"1	« 10 000 décès par semaine, c’est 10 000 de trop »"
2	«10 milliards d’années» est une exposition qui permet aux montres et horloges du Musée d’art et d’histoire d’être vues.
"3	“11 millions de mercis”: la presse belge salue Eden Hazard, réclame “un adieu magistral” et rêve d’un “retour à la Zidane”"
"4	» 1489 promesses d’emploi, 335 personnes en formation…ceux qui peuvent travailler travaillent…Nous ne sommes pas un distributeur de billets »."
"5	« 14 civils de l’ethnie dogon auraient été exécutés sommairement par des militaires », apparemment en représailles de la mort par engin explosif improvisé (EEI), dans la zone, de deux militaires, ajoute l’ONG."
"6	""1.800 personnes ont déjà reçu un traitement administratif qui leur permet de disposer d’un titre de séjour qui enregistre leur présence de manière légale sur le territoire."
"7	➤ 2021 : parrain du Téléthon, il est 4e au classement des personnalités préférées des Français."
"8	""210 en comptant les 40 se relayant aux 8 pompes à essence."
"9	""23 arbres de plusieurs espèces vont être plantés dans une fosse continue de terre afin qu’ils puissent communiquer par leur frondaison et leur système racinaire"", ajoute Arnaud Bonnin, directeur des activités portuaires et maritimes de la Métropole."
"10	""302 commerces ont été contrôlés, dix font l’objet de fermetures administratives pour des manquements répétés à l’hygiène ou à la réglementation."""
"11	« 35 % du corps électoral soit n’a pas voté, soit a voté blanc et nul, c’est 17 millions d’électeurs sur les 48 millions qui n’ont pas pris part au scrutin », relève le politologue Jérôme Jaffré sur LCI."
"12	""35 tonnes de dolomites, 55 tonnes de sable, 400m2 de terrasse, 40m2de bar…"" Voilà quelques chiffres impressionnants à propos du nouvel espace récréatif ouvert à tous, dès ce jeudi, au cœur du Marché International."
"13	""50% des médecins de la circonscription ont plus de 50 ans."
14	» 72 députés RN ont ainsi voté en faveur de ce premier article.
15	« 91 % des trains circulent.
"16	“A 01h30 (01h30 heure belge, ndlr) pendant la nuit, la police est arrivée sur la zone de l’accident”, a écrit la Défense norvégienne dans un communiqué."
"17	À 08H55 GMT, le baril de Brent de la mer du Nord bondissait de 4 % à 115,38 dollars, après avoir gagné jusqu'à 5,75 % quelques minutes plus tôt, tandis que le WTI coté à New York prenait 3,47 % à 112,58 dollars."
"18	À 10h45 heure belge, les avocats de Novak Djokovic passeront devant le juge Anthony Kelly pour plaider la cause de leur client."
"19	À 10 heures, la participation à ce bureau de vote était de 18 % avec 222 votants."
"20	À 10 heures précises, il enfourche son vélo, enfile son gros sac à dos isotherme et roule tranquillement jusqu’au centre-ville."
"21	À 1-0, on pouvait encore l'emporter."
"22	A 11 h 40, le président de la cour d'assises a détaillé le rapport des faits et l'enquête avant de se tourner vers l'accusé pour ses premières déclarations."
