Timestamp,Email address,sba,fr
,,āɓēlə̀kó̰y lé tō nā̰y gɨ́ né-sɔ̀ tō yā̰ èĺ,"Le mois de ""septembre"" est un mois où il n'y a pas beaucoup à manger"
12/07/2022 18:21:01,,á lò ō né gɨ́-ǹ,Regarde cette chose là
12/07/2022 18:21:37,, ɗí ɓá à ɗā-né wà?,Qu'a-t-il en faire?
12/07/2022 18:22:31,,à ɗèē bèlè,Il viendra demain
12/07/2022 18:23:07,,àw̄ ɗá à?,Où est-il parti?
12/07/2022 18:23:58,,ā dɨ̀ kàw̄,Tu t'apprêtes à aller.
12/07/2022 18:24:35,,ā ndìgì ə̀ĺ wà?,Est-ce que tu ne vas pas vouloir?
12/07/2022 18:25:07,,M-ā kàw̄ ndɔ̀ɔ̄-ɔ́,J'irai au champ
12/07/2022 18:25:50,,ā-m bèlō lə̀-í m-āw-né mbā,Donne-moi ton vélo pour que je fasse un voyage avec
12/07/2022 18:26:33,,ā-m̄ m-āw; ā-ī j-àw̄!,Laisse-moi partir; partons!
12/07/2022 18:27:21,,M-úndā jī-á də̄ nàńg bɔ̀rɔ̀g,J'ai baissé sa main d'un coup sec
12/07/2022 18:28:10,,àbɨ̀ lé tō dā gɨ́ bòý àsɨ̀ nà̰ā̰ gɨ̀ kə̀r̄ nè ḛ̀ tò màn̄,"L'hippopotame est un animal, grand comme l'éléphant, mais il vit dans l'eau"
12/07/2022 18:32:39,,Ngōn kìyā lé àdɨ̀ ə̀ĺ,Ce petit couteau n'est pas tranchant
12/07/2022 18:33:08,,Ndò̰ kìyā lə̀-ḿ àdɨ̀ yā̰,La lame de mon couteau est très tranchante
12/07/2022 18:33:46,,Mbī-á àdɨ̄,Il a l'ouïe fine
12/07/2022 18:34:25,,Kòsɨ́ gɨ́ àr̄-m̄ lé àdɨ̄. (=Kòsɨ́ gɨ́ àm̄ lé àdɨ̄.),Le concombre que tu m'as donné est amer
12/07/2022 18:34:54,,Gɔ́rɔ̀ lé àdɨ̄ yā̰,La noix de kola est très amère
12/07/2022 18:35:28,,Tádɨ̄ tì-á àgàgà,Il ouvre grandement la bouche
12/07/2022 18:36:29,,Ngōn àw̄ àgɨ̀. Lī àw̄ àgɨ̀,L'enfant est en train de ramper. Le serpent est en train de ramper
12/07/2022 18:37:04,,"Ngōn-ḿ àgɨ̀ mbá̰, wàgà dáà à kḭ̀ tàá","Mon enfant rampe déjà, bientôt il sera sur pieds"
12/07/2022 18:38:34,, ɓōlé ájī ngōn-ḿ dá né gɨ́ mḛ̀-í ndìgì yàá mā̰ kàrī,"Si tu guéris mon enfant, je te donnerai n'importe quelle chose que tu veux"
12/07/2022 18:39:11,,"Ngōn lé ùy ndáā, kɔ̀yɔ̀ lé ɓá àjì",L'enfant mourut tandis que le placenta resta en vie
12/07/2022 18:39:48,,ō ájíbà gɨ́ à̰ẃ,Regarde la prostituée qui passe.
12/07/2022 18:40:30,,ḛ̀ ndáā tō gə̄ ngōn àl,Lui il est un orphelin
12/07/2022 18:41:00,,Ngōn àl lé tō ngōn gɨ́ njé-kòjì-é jē d-óy,Un orphelin est un enfant dont les parents sont morts
12/07/2022 18:41:38,,òō ngōn gɨ́ ùwà kə̄m-kāgɨ̄ àl̄ tàŕ lé ə̀ĺ,l ne voyait pas l'enfant qui avait attrapé une branche d'arbre et y était grimpé
12/07/2022 19:56:36,,Ngō-kḭ́-á àl̄ gìr-é gɨ́,Son frère le monta sur le dos
12/07/2022 19:57:17,, àl̄ dɔ̀ būwá,Il a sauté dessus un trou
12/07/2022 19:57:59,,Kūbū àl̄-m̄,Le vêtement est trop grand pour moi
12/07/2022 19:58:41,,ál-é màjə̀ĺ,caractère est mauvais
12/07/2022 19:59:05,,álà,Dieu
12/07/2022 19:59:47,,álápēlē ùn ngōn kūnjá lì-á,Le milan a attrapé son poussin
12/07/2022 20:00:17,,álápēlē,milan
12/07/2022 20:00:42,,àlè,nager
12/07/2022 20:01:25,, Bísī gɨ́ sḛ́ bè àlè màn̄ sḛ́ sḛ́ ɓá àw̄ ùwà ə̀ĺ ɗèē sə̀-á ɗágá,"Le petit chien nage dans l'eau à petites brassées, il attrape l'oiseau et le ramène sur la rive"
12/07/2022 20:15:28,,Kòsɨ́ àw̄ àlè,Le concombre rampe par terre
12/07/2022 20:16:13,,Wàsɨ̄ tō kāgɨ̄ gɨ́ àlè nàńg.,Le melon est une plante qui rampe par terre
12/07/2022 20:17:01,,Ngōn lé tì-á àlè yā̰,L'enfant est trop bavard
12/07/2022 20:17:51,,Mìnjì àndɨ̄ yā̰ wàlá nò̰,Les haricots ont beaucoup produit là-bas en brousse.
12/07/2022 20:18:34,,Wə̄ĺ-nè lé mángò àndɨ̄ yā̰,Cette année les manguiers donnent beaucoup de fruits
12/07/2022 20:19:11,,à̰ndɨ̄],entrer
12/07/2022 20:19:45,,àng lé tō njè-kùmā gɨ́ tō màn̄ ùwà də̀w̄ jē,Le sous-marin métamorphosé est un féticheur qui est dans l'eau pour attraper les gens
12/07/2022 20:20:41,,ánjī lé d-úbā-né tà̰wá̰ jē,On utilise l'argile pour en faire des marmites
12/07/2022 20:21:03,,ápērmē,infirmier
12/07/2022 20:21:30,,Ngà ápērmē pà bàń wà?,Et qu'est-ce qu'a dit l'infirmier? 
12/07/2022 20:22:02,,ápērmē àā-m̄ kùmā kárā bè,L'infirmier m'a donné un médicament
12/07/2022 20:22:52,,Kāgɨ̄ gɨ́ àr mbɔ̀r kə́y lə̀-ḿ də̀bɨ̀ lé kám-é yā̰ yā̰,L'arbre qui est à côté de ma maison a beaucoup de feuilles
12/07/2022 20:23:20,,àr nàńg,s'arrêter
12/07/2022 20:23:53,,Kàmyō̰ àr nàńg tà bā dɨ́,Le camion est arrêté au bord de la rivière
16/07/2022 21:07:37,,Ndī ə̀r àr̄-é àw̄ ə̀ĺ,Il a plu à tel point qu'il n'a pas pu aller
16/07/2022 21:08:14,,ùndā màn̄ pə̀rə́ àr̄ mbáy ndògō,Elle mit de l'eau sur le feu pour que le roi se lave
16/07/2022 21:09:04,,Jī jōó ɓá tógō màr̄-é àr-é àr̄,Deux mains lavent l'autre pour qu'elle soit propre
